"","State","Year","sum_Population","mean_Model.based.Death.Rate","mean_Standard.Deviation","mean_Lower.Confidence.Limit","mean_Upper.Confidence.Limit","sum_Tot_Clms","sum_Tot_Opioid_Clms","mean_Opioid_Prscrbng_Rate","mean_Opioid_Prscrbng_Rate_1Y_Chg","mean_Opioid_Prscrbng_Rate_5Y_Chg","high_overdose_death_rate","perc_opioid_clms"
"106","Montana",2019,1070123,14.5592271428571,2.79761571428571,10.2371376785714,21.1430875,6100800,601002,9.85,0.37,1.7,FALSE,9.85119984264359
"107","Montana",2020,1080577,18.8555371428571,3.62277053571429,13.258505,27.3811685714286,5894962,574988,9.75,-0.1,2.24,FALSE,9.75388815059368
"108","Montana",2021,1104271,21.7629203571429,4.18110410714286,15.3031771428571,31.6024048214286,5960112,620326,10.41,0.66,2.78,FALSE,10.4079587766136
"109","Nebraska",2018,1925512,6.95777290322581,1.7508123655914,4.39434935483871,11.2043491397849,5372404,210776,3.96333333333333,-0.483333333333333,-1.87333333333333,FALSE,3.92330882040889
"110","Nebraska",2019,1932571,7.26527430107527,1.82816677419355,4.58858430107527,11.6994637634409,4839546,150170,2.82,-1.14333333333333,-2.48666666666667,FALSE,3.1029770147861
"111","Nebraska",2020,1937552,9.40947709677419,2.36755430107527,5.94297462365591,15.1518780645161,4649318,144718,2.53333333333333,-0.286666666666667,-2.29333333333333,FALSE,3.11267157892835
"112","Nebraska",2021,1963692,10.8604812903226,2.73255032258065,6.85951032258065,17.4881191397849,6621986,195342,2.17,-0.363333333333333,-2.19,FALSE,2.94990052833093
"113","Nevada",2018,3030725,25.0605247058824,3.16476588235294,19.9021752941176,32.2626870588235,12727588,694962,5.65,-1.85666666666667,-3.81,TRUE,5.46028045533844
"114","Nevada",2019,3090771,26.1668788235294,3.30436823529412,20.7809847058824,33.6867376470588,11572806,565246,5.07666666666667,-0.573333333333333,-4.74666666666667,TRUE,4.88426056740258
"115","Nevada",2020,3138259,33.8863123529412,4.27795882352941,26.9134417647059,43.6217170588235,11685728,548704,4.85666666666667,-0.22,-4.05333333333333,TRUE,4.6955054918273
"116","Nevada",2021,3143991,39.1094441176471,4.93663235294118,31.0628735294118,50.3437176470588,12744996,534902,4.41666666666667,-0.44,-3.78333333333333,TRUE,4.1969569860987
"117","New Hampshire",2018,1355064,25.423822,1.41152,22.827487,28.359641,2825632,74976,2.81,-0.573333333333333,-3.75333333333333,TRUE,2.65342408353246
"118","New Hampshire",2019,1360783,26.546099,1.473621,23.835522,29.611062,4011768,97344,2.49,-0.32,-3.77333333333333,TRUE,2.42646135070622
"119","New Hampshire",2020,1366275,34.375819,1.906872,30.868209,38.341789,4498352,98306,2.22666666666667,-0.263333333333333,-3.88666666666667,TRUE,2.18537811180628
"120","New Hampshire",2021,1388992,39.674487,2.199994,35.627625,44.250032,4168112,83610,1.92333333333333,-0.303333333333333,-2.94333333333333,TRUE,2.00594417808351
"121","New Jersey",2018,8891730,23.6524566666667,0.766712857142857,22.2044433333333,25.2102723809524,38054324,1123756,2.95666666666667,-0.59,-1.95666666666667,FALSE,2.95303104057242
"122","New Jersey",2019,8891258,24.6962214285714,0.800233333333333,23.1848904761905,26.3221276190476,37577250,992396,2.58,-0.376666666666667,-2.60666666666667,FALSE,2.64094897843775
"123","New Jersey",2020,8882371,31.9769633333333,1.03414714285714,30.0237747619048,34.0780547619048,35592748,900834,2.4,-0.18,-2.53,TRUE,2.53094815831585
"124","New Jersey",2021,9267130,36.9025866666667,1.19221761904762,34.650800952381,39.3247766666667,38024792,890012,2.17,-0.23,-2.14666666666667,TRUE,2.34060977900944
"125","New Mexico",2018,2093754,30.5237618181818,3.01080545454545,25.3859093939394,37.1635048484848,11523066,538754,4.89,-1.08,-2.97666666666667,TRUE,4.67543967898821
"126","New Mexico",2019,2099634,31.8724875757576,3.14359636363636,26.5080133333333,38.8050584848485,10036132,404184,4.08666666666667,-0.803333333333333,-4.27666666666667,TRUE,4.02728860082749
"127","New Mexico",2020,2106319,41.2753206060606,4.06952606060606,34.3306003030303,50.2496739393939,9112036,317060,3.26666666666667,-0.82,-4.68666666666667,TRUE,3.47957361011304
"128","New Mexico",2021,2115877,47.6388493939394,4.69593575757576,39.6250039393939,57.9944603030303,9538024,316756,2.94666666666667,-0.32,-4.56333333333333,TRUE,3.32098136888731
"129","New York",2018,19544098,15.8487079032258,1.02166387096774,14.0155974193548,18.0176022580645,132344098,2647330,1.70666666666667,-0.4,-1.54,FALSE,2.00033854173081
"130","New York",2019,19463131,16.5486190322581,1.06665177419355,14.6347887096774,18.8130158064516,131136236,2277096,1.51333333333333,-0.193333333333333,-1.39,FALSE,1.73643538159811
"131","New York",2020,19336776,21.4328329032258,1.38049725806452,18.955869516129,24.3634741935484,122988762,1978616,1.33666666666667,-0.176666666666667,-1.52333333333333,FALSE,1.60877788167345
"132","New York",2021,19835913,24.7378029032258,1.59278919354839,21.87992,28.119105,134312200,1973380,1.20333333333333,-0.133333333333333,-1.31,FALSE,1.46924851204879
"133","North Carolina",2018,10391358,23.4599683,1.8494759,20.1809309,27.4240129,30663602,1227274,4,-1.55,-3.85,FALSE,4.00238041179898
"134","North Carolina",2019,10501384,24.4964235,1.9310255,21.072789,28.6352429,31029046,1040258,3.35,-0.65,-3.98,FALSE,3.35252975550715
"135","North Carolina",2020,10600823,31.724637,2.4997117,27.2926278,37.0822253,27612162,910996,3.3,-0.05,-3.75,TRUE,3.29925632045763
"136","North Carolina",2021,10551162,36.6164502,2.8844984,31.5021318,42.7986661,26486185,844128,3.175,-0.125,-3.065,TRUE,3.18705015463722
"137","North Dakota",2018,760062,7.91156452830189,1.93701735849057,5.05671603773585,12.5930309433962,1531046,55413,3.545,-0.86,-3.235,FALSE,3.61929034137446
"138","North Dakota",2019,763724,8.26121301886792,2.02259754716981,5.28022113207547,13.1494998113208,1905308,59462,3.13333333333333,-0.77,-4.76333333333333,FALSE,3.12086024936651
"139","North Dakota",2020,765309,10.6993224528302,2.61934,6.83873849056604,17.0297616981132,1887810,55384,2.05,-1.08333333333333,-5.08333333333333,FALSE,2.93376981793719
"140","North Dakota",2021,774948,12.3492281132075,3.02314037735849,7.89342754716981,19.65552,2088602,58762,1.97,-0.08,-4.1,FALSE,2.81346086999821
"141","Ohio",2018,11680892,26.4536239772727,1.64904454545455,23.4674545454545,29.92856,86008504,2580962,2.84,-1.14666666666667,-4.38333333333333,TRUE,3.00082187221859
"142","Ohio",2019,11696507,27.6227225,1.72166647727273,24.505035,31.2506777272727,84116914,2126136,2.46666666666667,-0.373333333333333,-4.26666666666667,TRUE,2.52759629294056
"143","Ohio",2020,11693217,35.7718354545455,2.22805545454545,31.7370713636364,40.4667954545455,79619014,1943786,2.35333333333333,-0.113333333333333,-3.4,TRUE,2.441359045215
